proximity,up,down,left,right
15,5,12,4,6
16,5,12,4,6
14,63,244,245,0
15,63,244,245,0
16,63,244,245,0
16,63,244,245,0
16,63,244,245,0
18,63,244,245,0
16,63,244,245,0
26,63,244,245,0
50,63,244,245,0
156,17,32,22,25
156,22,39,33,34
156,163,210,197,170
156,185,218,216,176
156,255,255,255,255
156,255,255,255,255
156,255,255,255,198
156,144,199,209,98
156,97,127,135,69
156,110,135,143,89
156,139,164,168,122
156,169,198,201,158
156,115,157,123,126
22,8,13,8,14
16,63,244,245,0
15,63,244,245,0
16,63,244,245,0
17,63,244,245,0
13,63,244,245,0
16,63,244,245,0
16,63,244,245,0
15,63,244,245,0
17,63,244,245,0
14,63,244,245,0
15,63,244,245,0
17,63,244,245,0
15,63,244,245,0
15,63,244,245,0
15,63,244,245,0
